srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,class,label
10.0.0.1,55652,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,13,2678,4252,1769,47,2676,8449,3487,13419,13419,13419,13419,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.1,55653,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,12,2322,3933,1477,47,2319,5703,2550,11629,11629,11629,11629,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.1,55654,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,43,2516,7979,2864,49,2512,10277,3738,25185,25185,25185,25185,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.1,55655,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,16,2179,7817,3164,16,2180,14685,4680,21843,21843,21843,21843,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.1,55656,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,13,3082,6785,2785,50,3081,8149,3574,15431,15431,15431,15431,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.1,55657,10.0.0.2,80,6,6,426,6,451,52,71,158,42,52,75,92,17,84,3184,5273,2117,28,3182,9499,3994,15942,15942,15942,15942,0,0,0,0,0,6,426,6,451,1,4,0,0,320,320,0,1
10.0.0.3,38911,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,8,26903,119804,47638,34,32283,156370,69384,161435,161435,161435,161435,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,38912,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1389,2289,916,34,1388,3291,1455,6958,6958,6958,6958,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,38913,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,911,4050,1391,10,910,5126,1699,9134,9134,9134,9134,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,38914,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,10,20873,81933,33478,34,25047,120859,53576,125260,125260,125260,125260,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,38915,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1590,2984,1138,32,1589,4268,1805,7964,7964,7964,7964,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
